id,device_id,batch_id,model_name,sequence,machine_status,status_info,vision_result,vision_result_code,defect_type,sensor_data,timestamp
17011,RASP_PI_01,BATCH_20260524_739,SMT_CHIP_A20,1,RUN,"[{""code"": ""SV-PR-00"", ""msg"": ""Vision Inspection OK"", ""severity"": ""LOW"", ""direction"": ""TOP"", ""part_location"": ""ZONE_ALL"", ""is_capture_required"": false}]","{""result"": ""OK"", ""defect_type"": ""NONE"", ""confidence"": 0.97, ""inspection_area"": ""ALL"", ""image_url"": null}",OK,NONE,"{""temperature"": 35.6, ""humidity"": 40.1, ""vibration_x"": 0.018, ""vibration_y"": 0.01, ""illumination"": 1161}",2026-05-24 15:55:15.784
17012,RASP_PI_01,BATCH_20260524_739,SMT_CHIP_A20,2,RUN,"[{""code"": ""SV-PR-00"", ""msg"": ""Vision Inspection OK"", ""severity"": ""LOW"", ""direction"": ""TOP"", ""part_location"": ""ZONE_ALL"", ""is_capture_required"": false}]","{""result"": ""OK"", ""defect_type"": ""NONE"", ""confidence"": 0.97, ""inspection_area"": ""ALL"", ""image_url"": null}",OK,NONE,"{""temperature"": 39.4, ""humidity"": 53.2, ""vibration_x"": 0.014, ""vibration_y"": 0.009, ""illumination"": 1288}",2026-05-24 15:55:15.895
17013,RASP_PI_01,BATCH_20260524_739,SMT_CHIP_A20,3,RUN,"[{""code"": ""SV-PR-00"", ""msg"": ""Vision Inspection OK"", ""severity"": ""LOW"", ""direction"": ""TOP"", ""part_location"": ""ZONE_ALL"", ""is_capture_required"": false}]","{""result"": ""OK"", ""defect_type"": ""NONE"", ""confidence"": 0.95, ""inspection_area"": ""ALL"", ""image_url"": null}",OK,NONE,"{""temperature"": 38.0, ""humidity"": 54.4, ""vibration_x"": 0.026, ""vibration_y"": 0.011, ""illumination"": 1192}",2026-05-24 15:55:16.005
17014,RASP_PI_01,BATCH_20260524_739,SMT_CHIP_A20,4,RUN,"[{""code"": ""SV-PR-00"", ""msg"": ""Vision Inspection OK"", ""severity"": ""LOW"", ""direction"": ""TOP"", ""part_location"": ""ZONE_ALL"", ""is_capture_required"": false}]","{""result"": ""OK"", ""defect_type"": ""NONE"", ""confidence"": 0.97, ""inspection_area"": ""ALL"", ""image_url"": null}",OK,NONE,"{""temperature"": 37.5, ""humidity"": 42.6, ""vibration_x"": 0.006, ""vibration_y"": 0.017, ""illumination"": 1217}",2026-05-24 15:55:16.112
17015,RASP_PI_01,BATCH_20260524_739,SMT_CHIP_A20,5,RUN,"[{""code"": ""SV-PR-00"", ""msg"": ""Vision Inspection OK"", ""severity"": ""LOW"", ""direction"": ""TOP"", ""part_location"": ""ZONE_ALL"", ""is_capture_required"": false}]","{""result"": ""OK"", ""defect_type"": ""NONE"", ""confidence"": 0.97, ""inspection_area"": ""ALL"", ""image_url"": null}",OK,NONE,"{""temperature"": 36.9, ""humidity"": 52.2, ""vibration_x"": 0.009, ""vibration_y"": 0.022, ""illumination"": 1233}",2026-05-24 15:55:16.222
17016,RASP_PI_01,BATCH_20260524_739,SMT_CHIP_A20,6,RUN,"[{""code"": ""SV-PR-00"", ""msg"": ""Vision Inspection OK"", ""severity"": ""LOW"", ""direction"": ""TOP"", ""part_location"": ""ZONE_ALL"", ""is_capture_required"": false}]","{""result"": ""OK"", ""defect_type"": ""NONE"", ""confidence"": 0.96, ""inspection_area"": ""ALL"", ""image_url"": null}",OK,NONE,"{""temperature"": 38.1, ""humidity"": 53.2, ""vibration_x"": 0.006, ""vibration_y"": 0.024, ""illumination"": 1158}",2026-05-24 15:55:16.328
17017,RASP_PI_01,BATCH_20260524_739,SMT_CHIP_A20,7,RUN,"[{""code"": ""SV-PR-00"", ""msg"": ""Vision Inspection OK"", ""severity"": ""LOW"", ""direction"": ""TOP"", ""part_location"": ""ZONE_ALL"", ""is_capture_required"": false}]","{""result"": ""OK"", ""defect_type"": ""NONE"", ""confidence"": 0.99, ""inspection_area"": ""ALL"", ""image_url"": null}",OK,NONE,"{""temperature"": 35.1, ""humidity"": 50.4, ""vibration_x"": 0.006, ""vibration_y"": 0.016, ""illumination"": 1265}",2026-05-24 15:55:16.436
17018,RASP_PI_01,BATCH_20260524_739,SMT_CHIP_A20,8,RUN,"[{""code"": ""SV-PR-00"", ""msg"": ""Vision Inspection OK"", ""severity"": ""LOW"", ""direction"": ""TOP"", ""part_location"": ""ZONE_ALL"", ""is_capture_required"": false}]","{""result"": ""OK"", ""defect_type"": ""NONE"", ""confidence"": 0.97, ""inspection_area"": ""ALL"", ""image_url"": null}",OK,NONE,"{""temperature"": 39.5, ""humidity"": 51.0, ""vibration_x"": 0.028, ""vibration_y"": 0.013, ""illumination"": 1279}",2026-05-24 15:55:16.544
17019,RASP_PI_01,BATCH_20260524_739,SMT_CHIP_A20,9,RUN,"[{""code"": ""SV-PR-00"", ""msg"": ""Vision Inspection OK"", ""severity"": ""LOW"", ""direction"": ""TOP"", ""part_location"": ""ZONE_ALL"", ""is_capture_required"": false}]","{""result"": ""OK"", ""defect_type"": ""NONE"", ""confidence"": 0.95, ""inspection_area"": ""ALL"", ""image_url"": null}",OK,NONE,"{""temperature"": 39.2, ""humidity"": 44.1, ""vibration_x"": 0.022, ""vibration_y"": 0.009, ""illumination"": 1177}",2026-05-24 15:55:16.652
17020,RASP_PI_01,BATCH_20260524_739,SMT_CHIP_A20,10,RUN,"[{""code"": ""SV-PR-00"", ""msg"": ""Vision Inspection OK"", ""severity"": ""LOW"", ""direction"": ""TOP"", ""part_location"": ""ZONE_ALL"", ""is_capture_required"": false}]","{""result"": ""OK"", ""defect_type"": ""NONE"", ""confidence"": 0.97, ""inspection_area"": ""ALL"", ""image_url"": null}",OK,NONE,"{""temperature"": 35.6, ""humidity"": 48.1, ""vibration_x"": 0.024, ""vibration_y"": 0.015, ""illumination"": 1159}",2026-05-24 15:55:16.761
